Player,Elo,GrassRaw,still_in
Ajla Tomljanovic,1783.992351,1546.240916,1
Angelique Kerber,1896.167703,1825.758818,1
Aryna Sabalenka,2066.483782,1568.824043,1
Ashleigh Barty,2190.960736,1780.516794,1
Barbora Krejcikova,1987.193044,1254.281571,0
Cori Gauff,2004.868125,1620.878177,0
Elena Rybakina,1916.112634,1641.855553,0
Iga Swiatek,2048.123873,1473.541448,0
Karolina Muchova,1888.857282,1462.103141,1
Karolina Pliskova,1953.433851,1701.92048,1
Ludmilla Samsonova,1844.150938,1701.600994,0
Madison Keys,1911.901564,1631.594122,0
Ons Jabeur,1969.024914,1718.235583,1
Paula Badosa,1896.399924,1436.418644,0
Viktorija Golubic,1773.914471,1507.053275,1
Emma Raducanu,1334.309596,1310.61641,1
